num,apps,num_families,total_secs,pre_allocation_secs,allocation_secs,partial_ilp_seconds,pre_allocation_lower_bound_cost,cost,min_pred_cost,num_vms,failed,timed_out,problem_file,solution_file,correct,cost-min_pred_cost,N,M,V,C
205,28,4,54.997350215911865,54.82053232192993,0.171055793762207,54.12223696708679,6.192,7.254959999999999,5.419331050577877,6,False,False,out_scaling/20250319_121751/problem_e_205_a_28_f_4.json,out_scaling/20250319_121751/sol_e_205_a_28_f_4.json,True,1.835628949422122,28,105,7.716685001570694,157.39693468075646
206,8,2,0.5464551448822021,0.4613161087036133,0.0815265178680419,0.3039748668670654,2.447,3.3064,2.081015535977864,4,False,False,out_scaling/20250319_121751/problem_e_206_a_8_f_2.json,out_scaling/20250319_121751/sol_e_206_a_8_f_2.json,True,1.2253844640221359,8,48,2.857322228906686,51.37874590240981
207,20,4,16.406253337860107,16.272789478302002,0.1258082389831543,15.736721754074097,3.317,4.14404,2.143063106640355,10,False,False,out_scaling/20250319_121751/problem_e_207_a_20_f_4.json,out_scaling/20250319_121751/sol_e_207_a_20_f_4.json,True,2.0009768933596455,20,105,2.8858394241043706,41.6177462827113
208,45,2,2.353839874267578,1.9047987461090088,0.4355158805847168,1.348759651184082,28.722,40.24976,26.77442951440984,9,False,False,out_scaling/20250319_121751/problem_e_208_a_45_f_2.json,out_scaling/20250319_121751/sol_e_208_a_45_f_2.json,True,13.475330485590163,45,54,15.508171616193241,301.4723591052007
209,76,4,602.5214912891388,602.1456110477448,0.3559155464172363,600.4347958564758,12.948625,16.41456,10.38966378513589,11,False,True,out_scaling/20250319_121751/problem_e_209_a_76_f_4.json,out_scaling/20250319_121751/sol_e_209_a_76_f_4.json,False,6.024896214864112,76,105,15.796091697664767,301.32355430208054
210,11,2,1.761650562286377,1.704941749572754,0.0512874126434326,1.5064713954925537,5.6685487,6.7864,4.9461378191978165,5,False,False,out_scaling/20250319_121751/problem_e_210_a_11_f_2.json,out_scaling/20250319_121751/sol_e_210_a_11_f_2.json,True,1.840262180802184,11,48,6.580934400233821,85.67362953984109
211,28,4,25.54033136367798,25.30825710296631,0.222548246383667,24.59371972084045,4.685,6.8134,3.627113147971093,9,False,False,out_scaling/20250319_121751/problem_e_211_a_28_f_4.json,out_scaling/20250319_121751/sol_e_211_a_28_f_4.json,True,3.1862868520289065,28,105,5.784160595872876,88.05072339625465
212,93,3,117.77360010147096,117.25118446350098,0.4965331554412842,115.7784354686737,22.852,29.4984,19.290284715090763,10,False,False,out_scaling/20250319_121751/problem_e_212_a_93_f_3.json,out_scaling/20250319_121751/sol_e_212_a_93_f_3.json,True,10.208115284909237,93,75,23.03884226100753,389.7652115072176
213,34,3,45.23047208786011,45.04568767547608,0.1794290542602539,44.42586803436279,6.1768442,7.278639999999999,4.875243818749224,4,False,False,out_scaling/20250319_121751/problem_e_213_a_34_f_3.json,out_scaling/20250319_121751/sol_e_213_a_34_f_3.json,True,2.403396181250775,34,81,6.306050741821486,128.60043338049877
214,35,3,56.192646503448486,56.04456329345703,0.138047456741333,55.423855781555176,6.721,8.176000000000002,5.308433646997011,8,False,False,out_scaling/20250319_121751/problem_e_214_a_35_f_3.json,out_scaling/20250319_121751/sol_e_214_a_35_f_3.json,True,2.8675663530029913,35,75,7.401407975609518,124.56358618013238
215,42,3,4.9962427616119385,4.695179462432861,0.2910342216491699,4.000575542449951,15.736845,18.4168,13.17065633052283,10,False,False,out_scaling/20250319_121751/problem_e_215_a_42_f_3.json,out_scaling/20250319_121751/sol_e_215_a_42_f_3.json,True,5.246143669477169,42,75,14.40632727331744,175.33581779909858
216,32,1,0.6589865684509277,0.2973990440368652,0.3488020896911621,0.0742428302764892,83.47096,94.52671999999998,81.1117951505362,12,False,False,out_scaling/20250319_121751/problem_e_216_a_32_f_1.json,out_scaling/20250319_121751/sol_e_216_a_32_f_1.json,True,13.414924849463787,32,30,23.727194031170175,558.2007191466313
217,38,2,0.7667276859283447,0.5838487148284912,0.1697354316711425,0.1134600639343261,21.583,25.2048,19.393651567325467,8,False,False,out_scaling/20250319_121751/problem_e_217_a_38_f_2.json,out_scaling/20250319_121751/sol_e_217_a_38_f_2.json,True,5.811148432674532,38,54,16.180428062024315,320.7195205214662
